Button			   Date
Science			Sat Apr 02 2022 00:52:55 GMT-0700 (北美山区标准时间)
Science			Sat Apr 02 2022 00:52:58 GMT-0700 (北美山区标准时间)
Magnetometer			Sat Apr 02 2022 00:53:00 GMT-0700 (北美山区标准时间)
Gamma			Sat Apr 02 2022 00:53:01 GMT-0700 (北美山区标准时间)
Low Gain Antenna			Sat Apr 02 2022 00:53:03 GMT-0700 (北美山区标准时间)
Multispectral			Sat Apr 02 2022 00:53:04 GMT-0700 (北美山区标准时间)
Navigation			Sat Apr 02 2022 00:53:07 GMT-0700 (北美山区标准时间)
Cold Gas Thrusters			Sat Apr 02 2022 00:53:08 GMT-0700 (北美山区标准时间)
Star Trackers			Sat Apr 02 2022 00:53:10 GMT-0700 (北美山区标准时间)
Sun Sensors			Sat Apr 02 2022 00:53:12 GMT-0700 (北美山区标准时间)
SP Thruster			Sat Apr 02 2022 00:53:13 GMT-0700 (北美山区标准时间)
Star Trackers			Sat Apr 02 2022 00:53:14 GMT-0700 (北美山区标准时间)
Cold Gas Trusters			Sat Apr 02 2022 00:53:16 GMT-0700 (北美山区标准时间)
Navigation			Sat Apr 02 2022 00:53:20 GMT-0700 (北美山区标准时间)
Cold Gas Thrusters			Sat Apr 02 2022 00:53:21 GMT-0700 (北美山区标准时间)
Cold Gas Thrusters			Sat Apr 02 2022 00:53:23 GMT-0700 (北美山区标准时间)
Star Trackers			Sat Apr 02 2022 00:53:26 GMT-0700 (北美山区标准时间)
Cold Gas Trusters			Sat Apr 02 2022 00:53:27 GMT-0700 (北美山区标准时间)
Sun Sensors			Sat Apr 02 2022 00:53:33 GMT-0700 (北美山区标准时间)
Cold Gas Thrusters			Sat Apr 02 2022 00:53:35 GMT-0700 (北美山区标准时间)
SP Thruster			Sat Apr 02 2022 00:53:38 GMT-0700 (北美山区标准时间)
Cold Gas Thrusters			Sat Apr 02 2022 00:53:40 GMT-0700 (北美山区标准时间)
Video			Sat Apr 02 2022 01:02:56 GMT-0700 (北美山区标准时间)
Video			Sat Apr 02 2022 01:02:59 GMT-0700 (北美山区标准时间)
Communication			Sat Apr 02 2022 01:04:45 GMT-0700 (北美山区标准时间)
Communication			Sat Apr 02 2022 01:04:50 GMT-0700 (北美山区标准时间)
Communication			Sat Apr 02 2022 01:05:11 GMT-0700 (北美山区标准时间)
Communication			Sat Apr 02 2022 01:06:53 GMT-0700 (北美山区标准时间)
Xband			Sat Apr 02 2022 01:06:55 GMT-0700 (北美山区标准时间)
Communication			Sat Apr 02 2022 01:06:59 GMT-0700 (北美山区标准时间)
Xband			Sat Apr 02 2022 01:07:00 GMT-0700 (北美山区标准时间)
Communication			Sat Apr 02 2022 01:08:53 GMT-0700 (北美山区标准时间)
Xband			Sat Apr 02 2022 01:08:55 GMT-0700 (北美山区标准时间)
Dsoc			Sat Apr 02 2022 01:08:56 GMT-0700 (北美山区标准时间)
Communication			Sat Apr 02 2022 01:08:59 GMT-0700 (北美山区标准时间)
Dsoc			Sat Apr 02 2022 01:09:00 GMT-0700 (北美山区标准时间)
Dsoc			Sat Apr 02 2022 01:09:03 GMT-0700 (北美山区标准时间)
Xband			Sat Apr 02 2022 01:09:05 GMT-0700 (北美山区标准时间)
Spacecraft			Sat Apr 02 2022 01:11:52 GMT-0700 (北美山区标准时间)
Central Core			Sat Apr 02 2022 01:11:54 GMT-0700 (北美山区标准时间)
Spacecraft			Sat Apr 02 2022 01:11:58 GMT-0700 (北美山区标准时间)
Central Core			Sat Apr 02 2022 01:14:50 GMT-0700 (北美山区标准时间)
Dimensions			Sat Apr 02 2022 01:14:52 GMT-0700 (北美山区标准时间)
Central Core			Sat Apr 02 2022 01:14:54 GMT-0700 (北美山区标准时间)
Fun Facts			Sat Apr 02 2022 01:14:55 GMT-0700 (北美山区标准时间)
Central Core			Sat Apr 02 2022 01:14:57 GMT-0700 (北美山区标准时间)
Materials			Sat Apr 02 2022 01:14:58 GMT-0700 (北美山区标准时间)
Central Core			Sat Apr 02 2022 01:14:59 GMT-0700 (北美山区标准时间)
Dimensions			Sat Apr 02 2022 01:16:21 GMT-0700 (北美山区标准时间)
Communication			Sat Apr 02 2022 01:16:24 GMT-0700 (北美山区标准时间)
Spacecraft			Sat Apr 02 2022 01:16:27 GMT-0700 (北美山区标准时间)
Dimensions			Sat Apr 02 2022 01:16:29 GMT-0700 (北美山区标准时间)
Central Core			Sat Apr 02 2022 01:16:32 GMT-0700 (北美山区标准时间)
Dimensions			Sat Apr 02 2022 01:16:34 GMT-0700 (北美山区标准时间)
Fun Facts			Sat Apr 02 2022 01:16:36 GMT-0700 (北美山区标准时间)
Dimensions			Sat Apr 02 2022 01:16:37 GMT-0700 (北美山区标准时间)
Materials			Sat Apr 02 2022 01:16:39 GMT-0700 (北美山区标准时间)
Dimensions			Sat Apr 02 2022 01:16:40 GMT-0700 (北美山区标准时间)
3D Model			Sat Apr 02 2022 01:22:45 GMT-0700 (北美山区标准时间)
Spacecraft			Sat Apr 02 2022 01:22:47 GMT-0700 (北美山区标准时间)
3D Model			Sat Apr 02 2022 01:22:50 GMT-0700 (北美山区标准时间)
Astroid			Sat Apr 02 2022 01:24:49 GMT-0700 (北美山区标准时间)
Astroid			Sat Apr 02 2022 01:24:53 GMT-0700 (北美山区标准时间)
Spacecraft Model			Sat Apr 02 2022 01:24:55 GMT-0700 (北美山区标准时间)
Spacecraft Model			Sat Apr 02 2022 01:24:58 GMT-0700 (北美山区标准时间)
Spacecraft Model			Sat Apr 02 2022 01:25:02 GMT-0700 (北美山区标准时间)
Science			Sat Apr 02 2022 01:41:40 GMT-0700 (北美山区标准时间)
Magnetometer			Sat Apr 02 2022 01:43:55 GMT-0700 (北美山区标准时间)
Magnetometer			Sat Apr 02 2022 01:44:01 GMT-0700 (北美山区标准时间)
Magnetometer			Sat Apr 02 2022 01:44:11 GMT-0700 (北美山区标准时间)
Science			Sat Apr 02 2022 01:44:27 GMT-0700 (北美山区标准时间)
Magnetometer			Sat Apr 02 2022 01:44:28 GMT-0700 (北美山区标准时间)
Science			Sat Apr 02 2022 01:44:30 GMT-0700 (北美山区标准时间)
Magnetometer			Sat Apr 02 2022 01:44:31 GMT-0700 (北美山区标准时间)
3D Model			Sat Apr 02 2022 01:58:51 GMT-0700 (北美山区标准时间)
